Connected to /dev/tty.usbmodem1101 - 2 loops 0 phase difference
H_min: 0.0000 | R:   69 | Data: 48346cbcfd20042986987efd3e9a971a5dc8b00bd6eaf07a9c50ca56bdbfe73f56a617efd949d8ee82c5154b91b3f3e1d256ed0d84ea3a6155c74c6b2c2d67022b2d0345de58f482c2169e1e3f5cbe57d02c18c6168dade79a6b34eb2d0c929e603753a20c4effb98666116075506d04cd92ad7a650cc4f31caab32af598aa35
H_min: 0.0000 | R:   68 | Data: 00a5efc3d36a4efca2bd68a8410722a0940da56a5ddbb3276c7e127d28f90ed4342f074dfcb611d7bccb3982043570b806da9f25f4bea017899481a1c0d89242cbedcb4a6eef6faa714968af509b94a3cf0d706615d8c2187699b0dbf1f3224e08db65279ad75a663fba13c60790354378090f553ce12069edfdf1169c22345d
H_min: 0.0000 | R:   73 | Data: 52698b4741103ac7270bdfae5f21bd46eb8544885d500e5cd72edcc71276f4799b2d33f903e052dcbdeeb07665bda42997255867b7e8e189a8ba19bc0c9ac47692a0469789cf9a1f2d56421d8932af441ef3812ce61bf6f42e849cda6addaba21afddb0ce1586b856ecf8fc89d1d3a74b1d12cfcaea7b48e1f036b634ff59bae
H_min: 0.0000 | R:   68 | Data: d83741acb033f1f5a11ff193bc6e8b2e3f92378763762e8c7f30b919b20acea05d9b82e28acb83ecc9f5f390103a5f128593c6e370a4b845297240b1b29ed129d209cb229defefa8060d8e6b9651cf10669681deaf2854e9e35a278c251abe5cb9d8a95df51a89cbf7ac75a914eb82fa6ef5dfb97cac094fa31407bea1cf81b4
H_min: 0.0000 | R:   71 | Data: b4752218109ed3d7e32ff4589a78ce0ca2f68f7256849cba75e016a86591e8cb14dfdbb1629b671af7350eef3301b834ccb26c07af51a24f514e72089dcaafc02359007882d3203103550ced7366b4871bf8b0cc6570712e3b6377a8da7eee27b92b5175e146345510d89f2ad42cc37cb0ba0b826ddd513dd94f1a2b6d8f2ec8
H_min: 0.0000 | R:   75 | Data: d56f5e3424a4c004fe5122efcdeb6294f271ad3b906e3ea6b53bd793d046eddc64ac4d75baa51d77f3b6d8c5a85374f60beff582c4f9ce8bde6fc70ab66904ccd4f1ddc0d0c23aa3b22d97ccc3fe5cc185cbc9cbf5b1ed26d7b0db025609b0f0f2ba4254dea72b897f5685519e7491044a95297e6047214bf625c8e8b93af1b5
H_min: 0.0000 | R:   70 | Data: 24369c560976a6e4352104372791db4f9f5066ceeadf5c9236b0787746dc69ca6c31bb4642865d4710a8165ff861dd4011719174ab6b66fbbf7890949f56b32f5aaee078b85488e6ff6024a6fe239575d1003918f37865c1483a1c2328894d2a7a9856e6f24c2b11876390f08191e043d3c61a3f41522cb21f2913620f8bd15d
H_min: 0.0000 | R:   71 | Data: 4820d75375b72f99b0f4370edf849f49e3fb4b5f360328f75f039506942c28bcb82de946cf5d6316e3e6bd62cafe4f3697f7b2bf8d7fd49ffa1f67f5f96a000236ea4c87af54da5e2ac341a661df06fc6638b53beccaec842e3c8916da585e0c9538abebdc73859e5f57a0be671bf53985e0db2c142d6b61d0da3e3b82a62bb2
H_min: 0.0000 | R:   75 | Data: 1e2a5ae16c812af4f8e4fecafdd3977628ddf43d0c089bcd561ac328fa234e4cf684c45422df857cfcdd69f4b97dce1fa130d0e031b1f5e2a34ee4a37e06bf5ac144e03cde0901ca49070fe561ed4a2027e9a751b15e86bbb883e88ffd0d02c050cd526a1d64cc79f0cf87a3b2812a06b287ca6ff93dbfdc2010c0ba4e70dd91
H_min: 0.0000 | R:   74 | Data: c6ee198e2c606a82c41ea3f87fab25ab3869f424fa347a5181f842c500ecd164526cbd9ee2d52578d13a7d5747edc1c1ede2d7bc925d8b652a3879c80006978f5ea2e5c58dbec68cb7ffa04d49fd7c685d03047269705127bcde38f0db11b8fda131158db6c942b89c9a7e8d443dede4f42f95d8c030797d74bfbca784cf650c
H_min: 0.0000 | R:   71 | Data: b86cf6e36911c8f050ba9830ba86ca3c56ca6589e3f797fab981c750a3c07813c54abbe50a8b6122a6dfd14bcccc9d5cb40d7f3c623cf7d4b0a8349696d52ba4f88dcd6c7bcee58e184efb80290b43a88461e0daf7c7c323a4f0b352e21fecc49cfc8d584db11c75fec40a35d22aeccad89b81778daf8719ea38e983696e8301
H_min: 0.0000 | R:   71 | Data: 7c9eada3fc1178d6dcf045c2ca7f0328f6d66c53d94569385dae3452ea1f50f36cf2826c2fe5b4d75b73977db0ff62788a9d85fd05793fc06c0a257c33d32f347ee683b292d344a5510a7e2858c91a1e686f771a07603f851a5503b2ccf30411e14da395e1144fca062af6e6d65c2fdc1dff107472f4f523ff398dc30e8e19e6
