Connected to /dev/tty.usbmodem1101
H_min: 5.9320 | R: 1100 | Data: 7fdce90e5699ab46a058073ce8745fc924a5440c8b100da977fd02b99def4c107e442294b030816b675ab6e03f7d32183328d5c3ef80e01197ca3a1acc111f3d7b869fe55fb05525e0935bf64743ab8b1cf44a19a57743efd8cb4a1010454e7c4995e5ded1bdeec3baf1e469e5544fa8de621beff188b30c7b5e1c75567f324c
H_min: 5.9320 | R: 1119 | Data: 44c3675a4aba70d59f7402e1c583f96b23a7e8a0b01f51d96e84ade2ea00741e5080beb10d1c4fce2dfa089c003f1b61e1979eb627a17ddfbb28a2ff0b15da7be1522ab40a6ee6dc5f82abb1e59a959a7339e152ec352fcea20ba9107dc550167651a760b7ce0572799b234cd0f76c812f41a1c5136757a4a922f5f53ed868c0
H_min: 5.9320 | R: 1138 | Data: 8ce05a51d1373c63bc7b2cfb4d1b10b073cdf7ad533698bbedaa8bdcc0b3d2e1737b0b55afec3b8d24b4ea50da3f265dca1784816d0957c2e69144051d1246652e8447e3c96455532a0b99bbd8ffc6b4983fbf299dd06f6ef5c4c21da43a265b4a0b5f47acb0f60549b565887151ccca61c781bcb599dea959ab81d8863d16eb
H_min: 5.9320 | R: 1115 | Data: 47fceb2f27618e6ff1f05ad8663102a591321b2df62d7592564cffd32e19e80cd00f9922e2a5ca14f12d882f98ecd8890dfa24890e926472eeb89dc2c96b5a82341ab8ef31c8006e7611fac0c65558f9dabab3d868613aa67d79ca30103bbe0c6817deb44284d986e99fe7b41515e3c6ef4fc9d91632f9420967a5c792aae33a
H_min: 5.9320 | R: 1120 | Data: 6086961b8e8c490f8458f96e1b13500699eefa9afc9e4018107ee4fb53f3b7642aa4c43a9c0f7e91d73fe234eb83f06dfbf1462bdefce580b224127efc3495de55921b5e41a4882518ce8d57ac90877ee5aed69cf39e803a76ab7166f9cadc38a4cac293a03537d7b5b43e507d10c99cf6fcc7dd67f8531b1302d8af0b3bdd70
H_min: 6.1425 | R: 1121 | Data: 454d9f32644684c4176543e872b530605bc2f56e68a59d2423fa74d3be7012ab60beff6b5bdcaca9316cd718f0461ff750881b106d30967f26490293a72d407d63405f439c0250105fcf77e3cb75b1a509602074db10c091b4fd49316f41cf7e31d90e8d3fde7d918514bb2e11225fd3ec1c636535860990a9663daee06eedce
H_min: 6.1425 | R: 1111 | Data: 51ae1ca4e0069ae2160bac747fc88b925fded48a0c1cfff88b840ad128e2c09a1fd64064457c57d62ac445a438cfe02f1c61ae943a51168c686df58e5080d64134e83fdb29f12323afc24d2705dc6d61451ee89657b51d471ab8645f267afdc816a5db71b41b15a66c91cb6ec43d1e1b77c057840392f3ac1dff7b49c7352779
H_min: 5.9320 | R: 1111 | Data: 3a71c033dd8f43c03f2f24510101db10a4afedf15855f6734c3896ba388c9905467131060be4c170cb14e7154d5b9261678fa144b71986196a900a3439ca7d580e1099a02c8fc0567706360b3cb227207930c23346f283bd0a278850eaf4107e3daa199999c8bfdc21c1423bc1ac0725b40ce2ee7cb580764bd54c03d68be052
H_min: 5.9320 | R: 1135 | Data: 92752e8337a940f7ce447389325f4af7924c931cd6bd4eba4ddef88161af3de46512ebb656ac38681287948b9dd471586c2cc4a1ecbd536b27edb876f2dcb82baf940635ded2f53274c3e1d26dfa65934e57f3e294f68e971de6fa2cbe5f130af005d8fd44c0a1ffd8bbcd80127c284aaf8040d633644b7a83e81b3cad386fbd
H_min: 5.9320 | R: 1090 | Data: 6ecff3627643eb49050c66541891306d6076afb4328465a955d169e9d592b171c21e55712f55f1992ec592c4a7dc384bb48efd322cd6b5846bbb37a2dc44d121cccd95e89a192ab7f822a5a2eee88f5169b0fbeae3f8e67c11274c787a543810ef1dc8b036d586429a05314f6b8332b3b92518f7a742f093d36a3976e3381655
H_min: 5.9320 | R: 1109 | Data: 4000aadb93243a407a4a19c407279f28596bfe41cc359236a7135b41a2f1f714200d2708138bea7d36de57606180b4bbae128a5e5fc4611bea8526a4f8c3f2f37974ea9ac6bdcd962bf90dc74426d30600b664efba36d8eff0c17559030c5114e2f1f602fa7464e0073d92aa500553494619ead58b0cfec23b67d0c18573da71
H_min: 6.1425 | R: 1142 | Data: 93a33c7b45d61f113df7bdd4ff35a2a0c58904090afa0fa36f16afaaf733602fd737e00bc4f69be180ba1570c080ef3f1be4cc0f5ed0f1a4e6d9c82996bfd84ed18282b5b22b4802df7a3d967cfb8fd39cf36f36a41d5eb236c58e2a0840fc36361652391925807adbe7284c0f30a5136555b0d06e1bc5b12de65ba3f23251ce
H_min: 5.9320 | R: 1146 | Data: 912d5aca8b8c36556b24516490e58f5059ea558aa77a49b69f767fdc388d3361b242cdbacae42286026f9850dc6753d842b002d96f3e5e6c3e80ddc8e5cb31ac48cac541f6aa4ef26128944eb3e3fbe9e801c59b60caea9318cbe9ed7bc2db9a8cc1d168a8ed2971ab5c4809a385a6feb7c229315788344f49ec2012fe0202e4
H_min: 5.9320 | R: 1132 | Data: ae1412af4a2d5782df1847b12ef72a15f35ad216226186ed51df2906604f03d55d46f8b856b535338b556e7438c7c9b590ec9fef4b8cea8f90dd8cbd7be49abe6b2aa4df1d171b6e1239f73a438075c0090550ec4409c52ab4c8b45fb3a13b8f387690e0bb3a981e08e5343441895b289a2db3d27e957bcf80461933de888c6c
